date,height[m],error[m],dataset,ID,name,location,continent,country,longitude,latitude
1998-01-09,363.597,7.355980522980587e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-01-29,363.863,0.0004370291167909,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-01-30,363.857,0.0003172963936168,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-02-08,363.944,0.0002762707293716,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-02-18,363.823,0.0004548328881016,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-02-28,363.803,4.168918828482541e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-03-10,363.743,0.000768751986389,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-03-20,363.757,0.0003626527576149,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-03-27,363.872,0.0017705211325612,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-03-30,363.696,7.972648332452868e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-04-09,363.67,0.0003139192888375,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-04-10,363.792,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-04-19,363.569,0.0004743144462704,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-04-28,363.621,0.0004280518517605,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-05-08,363.674,0.000434783596248,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-05-28,363.812,0.0004066060790914,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-06-07,363.794,0.0007234565086334,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-06-17,363.907,0.000167051207995,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-06-27,363.882,0.0003111625186197,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-07-07,363.859,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-07-17,363.991,0.0002879802159585,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-08-06,364.251,6.708828290049495e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-08-25,364.736,0.0001631239385701,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-09-04,364.845,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-09-14,364.998,0.000373071227086,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-10-04,365.199,0.0005278853657512,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-10-14,365.345,0.000993392237004,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-10-24,365.375,0.0002007451961151,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-11-03,365.533,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-11-13,365.46,0.0001332599723384,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-12-03,365.554,0.0003479859077708,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-12-13,365.422,0.0003137893409381,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1998-12-22,365.412,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-01-11,365.366,0.0004127124626699,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-01-21,365.228,0.000645722470199,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-01-31,365.23,0.0004210124924463,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-02-20,364.994,0.0003949290287697,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-03-02,364.939,0.0003403394856402,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-03-12,364.874,0.0003675831624048,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-03-22,364.996,0.0003477363889539,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-04-16,364.865,0.0041152490553859,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-04-20,364.875,0.0001723720706952,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-04-30,364.691,0.000650446224373,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-06-09,364.439,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-06-25,364.423,0.0011038592310942,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-06-29,364.247,0.0002785907945874,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-07-09,364.217,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-07-19,364.335,0.000260508439854,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-07-29,364.372,0.0005257579377389,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-08-08,364.455,4.763661886206814e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-08-17,364.533,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-09-03,364.708,0.0004914288624035,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-09-06,364.745,0.0011394828978524,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-09-16,364.624,3.940187967673881e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-09-26,364.595,0.0003744796624628,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-10-06,364.619,0.0003891387447973,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-10-16,364.757,0.00037544472919,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-10-22,364.679,0.0032142146719517,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-11-05,364.893,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-11-15,364.877,0.000243932820705,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-11-25,364.728,0.0004104982276669,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-12-14,364.859,0.0003599183052365,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-12-17,364.701,0.0023387907192943,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1999-12-24,364.775,0.0001530528681928,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-01-03,364.859,0.0003286334670194,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-01-13,364.704,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-01-21,364.766,8.74393663377519e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-01-23,364.561,0.000400537756301,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-02-02,364.563,0.000477560847845,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-02-12,364.485,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-02-22,364.382,0.0004718612945616,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-03-03,364.375,0.0005769030575834,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-03-10,364.251,0.000448555905925,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
2000-03-13,364.266,0.0004221887619842,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
